conf_thresh,stop_loss,vol_thresh,trades,win_rate,avg_pnl
60,3.0,0.3,13,61.54,0.94
60,3.0,0.5,12,50.0,-0.13
60,3.0,1.0,12,41.67,-0.38
60,5.0,0.3,12,83.33,1.62
60,5.0,0.5,12,83.33,1.66
60,5.0,1.0,13,53.85,1.62
60,7.0,0.3,12,58.33,0.25
60,7.0,0.5,12,50.0,0.09
60,7.0,1.0,12,50.0,1.15
70,3.0,0.3,12,66.67,0.8
70,3.0,0.5,12,66.67,0.8
70,3.0,1.0,12,50.0,0.4
70,5.0,0.3,13,84.62,2.03
70,5.0,0.5,13,61.54,1.78
70,5.0,1.0,13,61.54,1.78
70,7.0,0.3,12,50.0,1.18
70,7.0,0.5,12,83.33,1.66
70,7.0,1.0,12,58.33,1.35
80,3.0,0.3,6,83.33,1.26
80,3.0,0.5,6,66.67,0.61
80,3.0,1.0,8,75.0,0.16
80,5.0,0.3,5,40.0,0.09
80,5.0,0.5,5,100.0,0.75
80,5.0,1.0,8,100.0,1.44
80,7.0,0.3,5,100.0,0.75
80,7.0,0.5,6,100.0,1.78
80,7.0,1.0,5,40.0,0.09
